groupId,artifactId,mcrTags
org.eclipse.persistence,org.eclipse.persistence.jpa,"persistence,eclipse,jpa"
org.codehaus.plexus,plexus-container-default,"container,dependency-injection,codehaus"
org.jboss.errai,errai-jaxrs-resteasy,"rest,jboss,jaxrs"
org.jboss.windup,windup-server-provider-spi,"server,provider,interface,jboss"
org.apache.maven,maven-repository-metadata,"repository,build,build-system,maven,apache,metadata"
org.apache.camel.quarkus,camel-quarkus-nagios,"monitoring,apache,camel"
io.xream.sqli,sqli-dialect,io
com.facebook.jcommon,testing,"testing,facebook"
org.wso2.carbon.identity.server.api,org.wso2.carbon.identity.api.server.tenant.management.v1,"server,management,api,identity"
com.azure.spring,azure-spring-cloud-autoconfigure,"azure,spring,config,cloud"
org.wso2.carbon.devicemgt,org.wso2.carbon.device.mgt.extensions,"management,device,extension"
org.restcomm.protocols.ss7.isup,isup-impl,protocol
org.kie,kie-pmml-evaluator-core,evaluation
org.apache.isis.extensions,isis-extensions-command-log-applib,"logging,apache,extension"
org.moduliths,moduliths-sample,example
io.camunda,zeebe-msgpack-core,"serialization,io"
org.jboss.narayana.arjunacore,txoj,jboss
org.apache.flink,flink-hadoop-fs,"hadoop,apache"
io.quarkus,quarkus-tika-deployment,"deployment,io"
org.joyqueue,joyqueue-security,security
org.geotools.xsd,gt-xsd-wps,geo
com.google.appengine,appengine-api-1.0-sdk,"sdk,google,computing,cloud,appengine,api"
org.apache.gora,gora-jcache,"hadoop,apache"
org.apache.metamodel,MetaModel-cassandra,"database,cassandra,apache"
com.hotels,waggle-dance-api,api
com.hotels.styx,styx-server,server
org.wso2.andes.wso2,andes-client,client
io.ktor,ktor-server-tests,"server,testing,io"
org.jboss.resteasy,resteasy-validator-provider-11,"provider,jboss,validation"
org.openhab.addons.bundles,org.openhab.binding.openthermgateway,"binding,bundle"
org.onebusaway,onebusaway-wiki-integration-xwiki-impl,"integration,wiki"
org.jboss.resteasy,resteasy-client-microprofile,"jboss,client"
org.sakaiproject,sakai-allhands-provider,provider
org.apache.cxf,cxf-rt-rs-http-sci,"apache,http"
org.gephi,core-library-wrapper,"module,library,netbeans"
ncsa.hdf,lib-hdf,library
io.hops.hive,hive-jdbc,"sql,jdbc,io"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.opennlp-model-ner-nl-organization,model
org.jboss.resteasy,resteasy-html,"jboss,html"
org.jenkins-ci,trilead-ssh2,"network,ssh,jenkins"
org.apache.ranger,ranger-plugins-common,"plugin,apache"
org.codehaus.enunciate,enunciate-cxf-rt,codehaus
com.azure.resourcemanager,azure-resourcemanager-network,"network,azure"
org.opencastproject,opencast-videoeditor-api,api
org.linguafranca.pwdb,test,testing
org.pentaho.reporting.library,libbase,"reporting,library"
org.wso2.carbon.identity.local.auth.api,org.wso2.carbon.api.server.local.auth.api,"server,authentication,api,identity"
org.odpi.egeria,open-metadata-types,metadata
org.springframework.osgi,org.springframework.osgi.io,"spring,io,osgi"
org.netbeans.api,org-netbeans-modules-queries,"module,ide,api,netbeans"
org.apache.apex,malhar-contrib,apache
de.tudarmstadt.ukp.clarin.webanno,webanno-doc,doc
org.apache.httpcomponents,httpasyncclient,"apache,client,http"
org.apache.directory.studio,org.apache.commons.collections,"collections,apache,directory"
org.apache.xbean,xbean-asm8-shaded,"apache,bytecode"
kg.apc,jmeter-plugins-mergeresults,plugin
io.xream.x7,x7-sqli,io
org.kie.kogito,kogito-addons-persistence-filesystem,"file-system,persistence"
org.hibernate.search,hibernate-search-mapper-orm-batch-jsr352-core,"persistence,mapping,orm,batch,hibernate,search"
com.amazonaws,aws-java-sdk-ssmcontacts,"aws,amazon,sdk"
org.apache.nifi,nifi-framework-components,"framework,apache"
io.smallrye,smallrye-fault-tolerance-vertx,"vertx,io"
org.apache.servicemix.specs,org.apache.servicemix.specs.jaxb-api-2.2,"binding,esb,apache,xml,api,specs"
global.namespace.truelicense,truelicense-maven-plugin,"plugin,build,build-system,maven"
org.apache.servicemix.specs,org.apache.servicemix.specs.jaxb-api-2.3,"binding,esb,apache,xml,api,specs"
ddf.platform.error,platform-error-servlet,"servlet,platform"
org.geotools.xsd,gt-xsd-wms,geo
org.apache.servicecomb,handler-tracing-zipkin,"apache,tracing"
io.quarkus,quarkus-azure-functions-http,"azure,io,http"
org.apache.bookkeeper,bookkeeper-server-tests-shaded,"server,testing,apache"
org.apache.pulsar,kafka-connect-avro-converter-shaded,"streaming,serialization,avro,kafka,apache,protocol"
io.quarkus,quarkus-openshift-client,"client,io"
org.kurento,kurento-repository-client,"repository,client"
org.neo4j,neo4j-layout,"database,graph,neo4j"
org.apache.zookeeper,zookeeper-jute,"apache,zookeeper"
org.springframework.cloud,spring-cloud-starter-netflix-eureka-client,"spring,cloud,client,starter"
org.webjars,less,"web,assets"
com.google.cloud,spring-cloud-gcp-starter-cloudfoundry,"google,spring,cloud,starter"
org.wildfly.swarm,ejb-remote,"ejb,remote"
org.apache.jackrabbit,jackrabbit-standalone-components,"apache,cms"
io.helidon.microprofile.cdi,helidon-microprofile-cdi,io
io.dekorate,openshift-junit,"junit,testing,io"
org.apache.servicemix.bundles,org.apache.servicemix.bundles.collections-generic,"bundle,esb,collections,apache"
org.vaadin,viritin,"web-framework,gwt"
com.amazonaws,aws-java-sdk-route53,"dns,aws,amazon,sdk,cloud"
org.xwiki.platform,xwiki-platform-mentions-test-pageobjects,"testing,platform"
org.mule.runtime,mule-core-tests,"testing,runtime"
com.amazonaws,aws-java-sdk-eventbridge,"aws,amazon,sdk"
org.openhab.core.bundles,org.openhab.core.model.sitemap,"bundle,model"
io.spring.javaformat,spring-javaformat-checkstyle,"spring,analysis,io"
com.thinkbiganalytics.kylo,kylo-schema-discovery-api,"schema,api,discovery"
org.jclouds,jclouds-allcompute,cloud
io.servicecomb,provider-pojo,"provider,pojo,io"
info.picocli,picocli-spring-boot-starter,"spring,starter"
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-groups,"security,authentication"
com.github.nifty-gui,nifty-openal-soundsystem,github
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.opennlp-model-tagger-es-perceptron,model
org.bytedeco,gsl-platform,platform
com.graphhopper,graphhopper-web-api,"web,api"
org.apache.flink,flink-metrics-datadog,"apache,metrics"
io.thorntail,hibernate-search,"persistence,hibernate,io,search"
org.noear,minio-solon-plugin,plugin
com.aliyun,aliyun-java-sdk-dysmsapi,sdk
org.apache.omid,omid-hbase-client,"database,apache,client,hbase"
org.restcomm.protocols.ss7.m3ua,m3ua-api,"api,protocol"
org.apache.flink,flink-queryable-state-runtime,"apache,runtime"
org.stagemonitor,stagemonitor-configuration,config
org.tynamo.security,tynamo-federatedaccounts-facebook,"security,facebook"
org.glassfish.main.persistence,jpa-container,"persistence,container,jpa"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.clearnlp-model-srl-en-ontonotes,model
com.zmops,zeus-server-jetty,"server,webserver,jetty"
org.apache.nifi,nifi-http-context-map-api,"apache,api,http"
org.eclipse.equinox,org.eclipse.equinox.common,eclipse
